17553,3
4225,66
7148,456
6667,550
16156,2090
2139,119
357865,411
118,1
488,1
2069,2341
621,17
2324,3611
32738,93
29488,1
13806,42
30461,74
4211,3597
314,63
23174,21
11809,2158
8935,420
95122,5
404,0.5
15389,188
2957,13340
47625,112
29488,475
47625,2
31,1352
16156,4850
11905,317
15238,9329
44581,897
1136,8
218,6354
357865,113
11119,552
9,5358
111791,16
11809,16156
338,1059
9191,5
1554,530
47,151
8774,493
5219,995
588,377
377,267
813,175
153443,25
17553,15769
2729,2
2653,6049
138745,134
647,1082
2074,5335
29482,88
9767,3179
151573,1359
159240,13890
141,365
1215,5
140,2831
143769,17553
163538,14872
357865,4
652,2
153601,990
325,633
86734,1634
47625,52165
4414,14269
1139,2
124,404
26903,1029
1764,175
22820,782
3341,285
31,1
321,165
29,0.5
42,9832
5582,1336
2167,514
79,3
1208,64020
73,5
5939,136
74002,3
11148,19
8599,149
2221,14005
6091,81
266,1092
6870,41
2295,230
307,1136
267,2315
6091,20
39,6091
29488,59001
6620,3084
20,2
15238,989
8573,29
41819,34495
,2545
,13785
,12695
,532
